word_chinese_traditional,aoa_mean,familiar_mean,imagine_mean,concrete_mean,semantic_radical_trans_mean,frequency_log,number_stroke,number_word_forms,number_homophones,number_meanings,aoa_raw,familiar_raw,imagine_raw,concrete_raw,semantic_radical_trans_raw
汽,3,7,4.5,4.25,3.947368421,1.909264051,7,5,5,2,3,6.8,4.409090909,4.25,3.947368421
股,4.4,6.526315789,3.818181818,3.8,6.052631579,2.635332582,8,5,5,5,4.238095238,6.4,3.954545455,3.8,6.052631579
嘲,4.761904762,6.578947368,3.454545455,3.15,6,1.456871067,15,4,0,NA,4.818181818,6.4,3.166666667,3.15,6
謂,4.666666667,6.15,2.772727273,2.0526,6.055555556,2.273816899,16,4,9,2,4.666666667,6.15,2.909090909,2.3,5.842105263
倒,3.285714286,6.789473684,4.590909091,4.75,3.578947368,2.444460635,10,15,5,5,3.285714286,6.65,4.454545455,4.75,3.578947368
鋒,4.3,6.526315789,4.636363636,3.45,5.777777778,2.431899707,15,6,10,6,4.142857143,6.25,4.636363636,3.45,5.578947368
燈,2.904761905,6.947368421,5.863636364,6.3158,5.894736842,2.106921119,16,6,2,3,2.904761905,6.85,5.772727273,6.15,5.894736842
請,3,6.736842105,3.590909091,3.3,4.947368421,2.713581635,15,16,2,3,3.045454545,6.45,3.409090909,3.3,4.947368421
捕,4.15,6.3,4.954545455,4.8947,6.157894737,2.543416817,10,8,4,4,4,6.3,4.818181818,4.7,6.157894737
豬,2.285714286,6.85,6.8,6.9474,6,2.02775801,15,8,9,4,2.285714286,6.85,6.409090909,6.75,5.789473684
搭,3.428571429,6.789473684,3.363636364,4.05,5.315789474,2.096086149,13,4,2,8,3.318181818,6.65,3.375,4.05,5.315789474
偷,3.476190476,6.947368421,4.681818182,5,4.684210526,2.168457978,11,12,0,7,3.476190476,6.85,4.681818182,5,4.684210526
拘,5.1,6.05,3.272727273,3.75,5.368421053,2.298832555,8,5,6,5,4.904761905,6.05,3.318181818,3.75,5.368421053
腰,3.476190476,6.55,6.045454545,6.2105,6.157894737,1.807791363,13,4,4,NA,3.476190476,6.55,5.909090909,5.95,6.157894737
搜,4.5,6.578947368,4.318181818,4.55,6,2.154867681,13,9,5,3,4.333333333,6.45,4.136363636,4.55,5.842105263
姍,5.05,5.8,2.909090909,1.6842,4.578947368,0.806887524,8,4,5,3,4.857142857,5.8,2.956521739,1.9,4.578947368
靜,3.142857143,6.894736842,3.681818182,4,NA,2.182093745,16,12,3,4,3.142857143,6.8,3.681818182,4,NA
撤,5.19047619,6.15,3.954545455,3.65,5.421052632,1.927049996,15,5,5,NA,5.19047619,6.15,3.772727273,3.65,5.421052632
陸,3.571428571,6.4,4.681818182,3.85,3.052631579,2.333980131,11,5,10,2,3.571428571,6.4,4.869565217,3.85,3.052631579
賠,4.238095238,6.315789474,3.318181818,3.9,6,1.908405479,15,10,4,3,4.238095238,6.05,3.260869565,3.9,5.736842105
