word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,concrete_mean,concrete_sd,imagine_mean,imagine_sd,frequency_words_per_million,frequency_log,frequency_zipf,strokes_1st_character_n,strokes_2nd_character_n,strokes_total_n
感想,feelings,3.65,0.75,2.36,1.25,4.64,0.49,2.73,1.22,2.88,1.4,5.19,2.24,3.35,13,13,26
進程,process,3.35,0.69,2.46,1.1,4.2,0.91,2.92,1.29,3.16,1.28,5.13,2.24,3.35,11,12,23
愛心,love,4.84,0.37,2.28,1.06,4.62,0.5,3.19,1.33,3.72,1.21,5.13,2.24,3.35,13,4,17
人權,human rights,3.46,1.07,3.23,1.27,4.42,0.58,2.81,1.33,2.88,1.34,4.95,2.22,3.35,2,22,24
幻象,fantasy,3.56,0.87,2.54,1.17,3.71,1.16,2.6,1.29,2.92,1.44,4.92,2.22,3.35,4,12,16
勞動,labor,2.69,0.88,2.96,1.4,4.17,0.98,3.23,1.45,3.73,1.22,4.92,2.22,3.35,12,11,23
本意,original idea,3.16,0.55,1.92,0.93,3.81,1.23,2.24,0.93,2.42,1.24,4.86,2.21,3.34,5,13,18
民事,civil,2.72,0.46,2.69,1.23,3.25,1.22,3.12,1.28,3.08,1.29,4.86,2.21,3.34,5,8,13
條約,treaty,2.64,0.76,2.62,1.02,3.92,1.15,4.2,1.04,3.88,1.24,4.86,2.21,3.34,11,9,20
群體,group,3.65,0.69,2.5,1.17,4.36,0.91,4,0.91,4.04,0.98,4.83,2.21,3.34,13,23,36
股份,share,3.21,0.72,2.38,1.13,3.76,1.16,3.58,1.42,3.23,1.31,4.83,2.21,3.34,8,6,14
訊號,signal,3.29,0.62,2.42,1.06,4.16,0.9,3.77,1.24,3.69,1.44,4.8,2.21,3.34,10,13,23
古典,classical,3.77,0.82,2.08,0.93,4.25,0.9,2.68,1.28,3.27,1.15,4.74,2.2,3.34,5,8,13
潮流,trend,3.81,0.8,2.96,1.25,4.5,0.51,3.04,1.27,3.27,1.31,4.74,2.2,3.34,15,9,24
思路,thinking,3.46,0.76,2.08,1.09,4.12,0.88,2.32,1.18,2.62,1.3,4.74,2.2,3.34,9,13,22
演技,acting,3.38,0.9,2.96,1.22,4.08,1,2.92,1.29,3.46,1.24,4.71,2.2,3.34,14,7,21
勾當,illegal activities,1.24,0.44,4,0.93,3.67,1.2,2.85,1.41,3.42,1.36,4.68,2.2,3.34,4,13,17
原理,principle,3.42,0.7,1.7,0.76,3.83,1.13,3.04,1.4,3,1.36,4.68,2.2,3.34,10,11,21
氣候,climate,3.29,0.62,2.19,1.02,4.63,0.49,3.69,1.26,4,1.02,4.65,2.19,3.34,10,10,20
外號,nickname,2.64,0.86,2.65,1.16,4.04,1.02,3.5,1.17,3.69,1.41,4.62,2.19,3.34,5,13,18
緋聞,scandal,2,0.85,3.44,1.23,4.04,0.98,3.27,1.43,3.73,1.4,4.62,2.19,3.34,14,14,28
夢境,dreamland,3.58,0.81,2.42,0.88,4.63,0.58,2.88,1.51,3.72,1.28,4.62,2.19,3.34,14,14,28
收益,earnings,3.73,0.92,2.54,1.17,4.13,0.8,3.6,1.22,3.46,1.3,4.59,2.19,3.34,6,10,16
熱量,calorie,2.72,0.74,2.81,1.3,4.08,1.06,3.15,1.43,3.31,1.46,4.59,2.19,3.34,15,12,27
福音,gospel,3.84,1.16,2.03,1.22,4.34,0.9,2.83,1.42,2.97,1.38,4.56,2.18,3.34,13,9,22
要害,vital point,2.1,0.76,4.1,0.56,3.87,1.17,3.3,1.32,3.19,1.25,4.56,2.18,3.34,9,10,19
數碼,digital,3.19,0.48,2.1,1.16,4.32,0.65,3.32,1.22,3.48,1.06,4.56,2.18,3.34,15,15,30
秘訣,secret,3.68,0.75,2.61,1.23,4.34,0.61,3.19,1.22,3.06,1.21,4.56,2.18,3.34,10,11,21
流言,gossip,1.73,0.69,3.65,0.98,4,1.06,3,1.32,2.74,1.03,4.5,2.18,3.34,9,7,16
正題,subject,3.45,0.62,2.13,0.92,3.8,1.21,2.9,1.16,2.71,1.22,4.5,2.18,3.34,5,18,23
機遇,opportunity,4.06,0.85,3.35,1.28,4.36,0.56,2.32,1.08,3,1.03,4.5,2.18,3.34,16,12,28
前程,future,3.61,0.92,2.97,1.35,4.57,0.63,2.45,1.09,2.9,1.14,4.47,2.18,3.34,9,12,21
專利,patent,3.57,0.77,2.03,1.16,4.1,0.98,3.65,1.2,3.32,1.11,4.47,2.18,3.34,11,7,18
聲譽,reputation,3.67,0.71,3.17,0.87,4.29,0.69,2.55,1.06,2.87,1.06,4.47,2.18,3.34,17,21,38
公立,public,3.17,0.53,2.16,0.93,3.94,1.18,2.16,1,2.58,1.15,4.47,2.18,3.34,4,5,9
銷量,sales,3.65,0.71,2.45,1.12,4.52,0.57,3.77,1.2,3.87,0.97,4.44,2.17,3.34,15,12,27
風頭,limelight,2.97,1.17,3.06,1.18,3.9,0.99,2.48,1.09,2.9,1.11,4.41,2.17,3.34,9,16,25
化身,incarnation,3.1,0.41,2.06,0.89,3.27,1.2,2.65,1.28,2.61,1.02,4.41,2.17,3.34,4,7,11
捷徑,shortcut,3.58,0.76,2.52,1.23,4.33,0.71,3.65,1.17,3.65,0.91,4.38,2.17,3.34,11,10,21
伎倆,tricks,2.35,1.02,3.1,1.3,3.52,1.09,3.13,1.2,3.19,1.25,4.35,2.16,3.34,6,10,16
股東,shareholder,3.04,0.43,2.19,1.14,4.34,0.67,4.29,0.9,4.1,0.86,4.32,2.16,3.33,8,8,16
開端,beginning,3.37,0.67,2.23,1.09,3.74,1.12,2.65,1.17,2.94,1.21,4.32,2.16,3.33,12,14,26
性質,property,3,0,1.69,0.85,4.13,0.88,1.86,0.85,2.39,1.17,4.29,2.16,3.33,8,15,23
心事,worry,2.61,1.09,3.03,1.22,4.5,0.57,2.65,1.14,2.94,1.09,4.29,2.16,3.33,4,8,12
風度,demeanor,4.29,0.69,2.47,1.22,4.41,0.63,2.68,1.22,3.35,1.08,4.29,2.16,3.33,9,9,18
常識,common sense,3.48,0.72,1.94,0.96,4.57,0.5,2.94,1.21,3.19,1.28,4.26,2.16,3.33,11,19,30
內幕,insider story,2.55,0.85,3.1,1.11,4,0.96,2.94,1.03,2.74,0.89,4.26,2.16,3.33,4,14,18
