word_portuguese,translate_word_english,cgram,familiar_mean,concrete_mean,imagine_mean,aoa_mean,aoa_sd,length,silo_n,phonemes,silphom_n,ond,oup,phoneme_density,phonome_up,frequency,frequency_log
Arbusto,bush,no,NA,NA,NA,4.85,1.55,7,3,7,3,0,7,0,7,159,3.14
Areia,sand,no,NA,NA,NA,2.73,1.75,5,3,5,3,4,5,4,4,1016,2.2
Arguido,accused,no,NA,NA,NA,8.15,1.08,7,3,7,3,1,6,0,6,628,3.01
Armário,closet,no,2,NA,NA,3.77,1.56,7,3,7,3,0,4,0,6,411,2.8
Armazém,warehouse,no,NA,NA,NA,5.46,1.49,7,3,7,3,0,6,0,6,426,2.61
Arquivo,archive,no,NA,NA,NA,6.69,1.36,7,3,6,3,0,7,0,6,310,2.63
Arranjo,arrangement,no,NA,NA,NA,6.19,1.53,7,3,5,3,3,7,2,5,350,2.49
Arranque,start,no,NA,NA,NA,5.9,1.64,8,3,5,3,0,6,2,5,250,2.55
Artesão,craftsman,no,NA,NA,NA,6.8,1.01,7,3,7,3,0,6,0,6,243,2.4
Artigo,article,no,NA,NA,NA,6.82,0.87,6,3,6,3,1,6,0,6,6837,2.39
Artista,artist,no,NA,NA,NA,4.74,1.61,7,3,7,3,1,5,0,7,1378,3.83
Asilo,asylum,no,2.77,5.02,4.15,6.82,1.45,5,3,5,3,1,5,2,5,162,3.14
Ataque,attack,no,NA,NA,NA,5.1,1.43,6,3,5,3,0,4,2,5,1512,2.21
Atleta,athlete,no,NA,NA,NA,5.08,1.32,6,3,6,3,0,6,0,6,830,3.18
Atraso,delay,no,NA,NA,NA,4.32,1.54,6,3,6,3,0,6,0,5,864,2.92
Aumento,increase,no,NA,NA,NA,5.08,1.66,7,3,6,3,1,7,0,6,2795,2.94
Ausência,absence,no,NA,NA,NA,5.52,1.37,8,3,7,3,0,4,0,5,1239,3.45
Auxílio,support,no,NA,NA,NA,6.64,1.61,7,3,7,3,0,4,0,7,409,3.09
Azeite,olive oil,no,1.95,NA,NA,4.1,1.25,6,3,6,3,2,6,2,6,683,2.61
Baliza,goal,no,NA,NA,NA,3.64,1.31,6,3,6,3,1,6,0,6,504,2.84
Bancada,row,no,NA,NA,NA,4.96,1.52,7,3,6,3,1,6,3,5,724,2.7
