word_portuguese,translate_word_english,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_s_mean,frequency_s_sd,length,syllables,syllabic_structure,pos,wordform_per_million_frequency,wordform_per_million_frequency_log10,frequency_zipf,orthographic_neighborhood_size,orthographic_levenshtein_distance
controlador,controlling,3.39,1.63,3,1.24,4.12,1.42,11,4,CVC.CCV.CV.CVC,"ADJ,N",1.515,0.401,3.18,1,2.25
controlo,control,3.31,1.78,3.46,1.76,5.09,1.26,8,3,CVC.CCV.CV,"N,V",122.886,2.093,5.09,2,1.9
conveniente,convenient,2.8,1.49,3.36,1.8,4.65,1.33,11,5,CVC.CV.CV.VC.CV,ADJ,9.512,1.022,3.978,0,2.7
convento,convent,5.83,1.44,5.83,1.52,2.88,1.1,8,3,CVC.CVC.CV,N,12.809,1.14,4.108,4,1.7
convergência,convergence,3.13,1.83,3.03,1.58,3.68,1.67,12,4,CVC.CVC.CVC.CVV,N,27.001,1.447,4.431,0,3
conversa,conversation,4.61,1.74,4.12,1.83,6.29,0.93,8,3,CVC.CVC.CV,"ADJ,N,V",56.611,1.761,4.753,3,1.7
convicção,conviction,3.65,1.78,2.97,1.72,4.37,1.37,9,3,CVC.CVC.CVV,N,36.919,1.579,4.567,1,2.65
convicto,convinced,2.98,1.4,3.63,1.72,4.16,1.35,8,3,CVC.CVC.CV,ADJ,11.906,1.111,4.076,1,2.1
convidado,guest,4.48,1.57,4.67,1.66,4.57,1.26,9,4,CVC.CV.CV.CV,"ADJ,N,V",34.217,1.547,4.534,1,1.8
convite,invitition,4.76,1.77,4.97,1.89,4.35,1.38,7,3,CVC.CV.CV,N,50.256,1.71,4.701,3,1.8
convívio,gathering,4.81,1.74,3.88,1.63,5.02,1.21,8,3,CVC.CV.CVV,N,19.312,1.308,4.286,0,2.45
cooperação,cooperation,3.59,1.65,3.09,1.85,4.46,1.18,10,5,CV.V.CV.CV.CVV,N,86.842,1.944,4.939,1,2.5
coordenação,coordination,3.22,1.72,3.26,1.54,4.14,1.59,11,5,CV.VC.CV.CV.CVV,N,28.169,1.465,4.45,1,2.6
cópia,copy,4.62,1.84,4.97,1.66,5.4,1.41,5,2,CV.CVV,N,13.767,1.169,4.139,2,1.85
copo,glass,5.85,1.53,6.72,0.56,6.71,0.57,4,2,CV.CV,N,12.839,1.141,4.109,17,1
cor,colour,5.08,1.83,4.81,1.86,6.26,0.87,3,1,CVC,N,60.446,1.789,4.781,9,1.3
coração,heart,6.47,1.05,5.96,1.24,5.78,1.21,7,3,CV.CV.CVV,N,72.968,1.869,4.863,2,1.75
coragem,courage,3.87,2.02,2.97,1.97,5.25,1.19,7,3,CV.CV.CVC,"INT,N",34.823,1.554,4.542,4,1.65
corajoso,courageous,3.89,1.85,3.14,1.73,4.9,1.41,8,4,CV.CV.CV.CV,ADJ,2.814,0.581,3.449,1,2.6
coral,choral,5.08,1.93,5.08,1.65,3.25,1.27,5,2,CV.CVC,"ADJ,N",4.568,0.746,3.66,9,1.35
corda,rope,6.1,1.57,6.51,0.81,4.16,1.44,5,2,CVC.CV,N,10.86,1.074,4.036,17,1
cordeiro,lamb,5.85,1.56,6.42,1.08,2.91,1.21,8,3,CVC.CVV.CV,N,1.607,0.416,3.206,0,1.85
cordel,cord,5.03,1.93,5.96,1.28,2.58,1.05,6,2,CVC.CVC,N,1.231,0.349,3.09,3,1.85
coreografia,choreography,5.3,1.84,4.62,1.68,3.35,1.08,11,6,CV.CV.V.CCV.CV.V,N,9.297,1.013,3.968,0,1.8
corneta,horn,5.83,1.35,6.44,1.02,2.31,0.97,7,3,CVC.CV.CV,N,0.279,0.107,2.445,4,1.75
coro,choir,4.81,1.89,5.42,1.52,3.4,1.54,4,2,CV.CV,"N,V",22.219,1.366,4.347,24,1
coroa,crown,6.29,1.19,6.14,1.38,2.98,0.92,5,3,CV.CV.V,"N,V",15.438,1.216,4.189,13,1
coronel,colonel,5.29,1.91,5.82,1.32,2.57,1.07,7,3,CV.CV.CVC,N,15.286,1.212,4.184,0,2.6
corpo,body,6.19,1.2,6.19,1.16,6.04,1.13,5,2,CVC.CV,N,145.051,2.165,5.162,11,1.3
corpulento,stout,5,1.72,4.69,1.83,2.88,1.31,10,4,CVC.CV.CVC.CV,ADJ,0.586,0.2,2.768,1,2.75
correcção,correction,3.52,1.96,3.26,1.56,5.49,1.27,9,3,CVC.CVC.CVV,N,15.687,1.222,4.196,1,2.45
correcto,correct,3.62,1.89,3.57,2.14,6.04,1.03,8,3,CVC.CVC.CV,ADJ,15.931,1.229,4.202,1,1.85
corredor,aisle,5.62,1.52,5.69,1.46,5.36,1.3,8,3,CVC.CV.CVC,"ADJ,N",23.249,1.385,4.366,1,1.9
correia,strap,4.7,1.97,5.34,1.77,3.28,1.6,7,3,CVC.CVV.V,N,2.076,0.488,3.317,8,1.35
correio,mail,5.88,1.39,5.96,1.21,4.8,1.27,7,3,CVC.CVV.V,N,17.856,1.275,4.252,3,1.7
corrente,chain,4.93,1.85,4.69,1.83,4.19,1.34,8,3,CVC.CVC.CV,"ADJ,N",69.162,1.846,4.84,5,1.55
