word_italian,translate_word_english,aoa_mean,aoa_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_ilc_adult_written,frequency_colfis_adult_written,frequency_totfq_child_written,frequency_compfq_child_written,frequency_prodfq_child_written,frequency_spkfq_adult_spoken,n,bigram,syllables,length,phonome_stress,phoneme_voice,mann,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,rt_mean
caramella,candy,1.52,0.59,6.93,0.25,6.48,0.9,6.8,0.55,3,7,103,22,81,2,1,11.24,4,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,532
carattere,character,3.98,1.07,6,1.56,2.82,1.79,3,1.8,89,271,281,43,238,35,0,11.41,4,9,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,578
carcassa,carcass,5.61,1.17,4.82,1.79,3.77,1.72,5.39,1.67,4,4,0,0,0,1,0,10.88,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,514
carcere,prison,3.86,1.29,6.7,0.7,5.84,1.35,6.25,1.26,193,385,9,3,6,53,0,11.18,3,7,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,556
carciofo,artichoke,3.27,0.97,6.36,0.94,6.32,1.12,5.05,2.33,1,6,0,0,0,2,0,10.53,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,545
carnevale,carnival,2.48,0.59,6.75,0.49,5.25,1.82,5.25,2.01,17,79,310,18,292,4,0,10.97,4,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,575
carosello,carousel,4.3,1.71,4.25,1.99,3.27,1.92,5.61,1.79,8,5,0,0,0,1,0,11.13,4,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,578
carota,carrot,2.34,0.75,6.61,0.87,6.39,1.02,6.84,0.57,3,21,38,17,21,2,0,11.19,3,6,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,527
carriera,career,5.5,1.3,6,1.56,3.32,2.01,3.95,2.29,61,339,24,21,3,14,2,11.14,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,537
casa,house,1.66,0.61,7,0,6.44,0.96,6.48,1.11,2253,2737,3584,873,2711,471,5,11.21,2,4,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,505
castagna,chestnut,2.77,0.8,6.5,0.85,6.39,0.99,6.61,0.99,15,33,40,9,31,1,0,10.86,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,508
castello,castle,2.52,0.76,6.61,0.87,6.14,1.29,5.86,1.56,93,146,223,90,133,6,3,11.13,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,508
categoria,category,5.73,1.09,5.41,1.6,2.64,1.78,3.43,2.12,31,163,13,11,2,40,0,10.96,5,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,567
catino,basin,4.57,1.45,4.09,1.68,4.84,1.76,6.55,1.09,3,4,0,0,0,0,5,11.42,3,6,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,539
catrame,tar,4.73,1.47,5.3,1.81,4.7,1.91,5.73,1.69,11,4,0,0,0,0,0,11.17,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,585
cavallo,horse,2.11,0.72,6.82,0.58,6.52,1,6.84,0.53,170,180,383,139,244,37,1,11.14,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,500
cedro,citron,4.89,1.35,3.84,1.8,4.66,2.17,6.64,0.89,6,3,9,7,2,0,0,10.67,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,543
cenere,ash,3.2,1.19,6.14,1.09,5.14,1.62,4.32,2.59,45,16,17,12,5,0,3,11.46,3,6,ap,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,537
cera,wax,3.36,1.04,6.3,1,4.93,1.66,5.32,2.07,47,23,10,5,5,3,7,11.58,2,4,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,533
cerimonia,ceremony,4.66,1.14,5.89,1.42,4.55,1.81,4.89,1.98,30,150,26,21,5,0,0,11.11,4,9,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,597
cervello,brain,3.5,1.11,6.61,1.02,5.41,1.63,6.11,1.5,91,164,64,55,9,2,0,10.88,3,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,542
cervo,deer,3.07,0.93,6.05,1.28,6.05,1.14,5.73,1.86,7,9,37,23,14,1,2,10.79,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,534
cesto,basket,3.27,0.82,6.09,1.16,5.8,1.47,6.66,0.96,7,12,41,29,12,2,13,11.34,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,543
chiesa,church,2.41,0.79,6.75,0.94,6.32,1.23,6.3,1.41,255,537,190,41,149,30,1,11.04,2,6,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,536
chitarra,guitar,3.25,0.99,6.59,0.9,6.52,0.73,6.8,0.59,7,39,19,11,8,3,0,11.03,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,564
cicala,cicada,2.95,0.83,5.66,1.68,5.66,1.54,6.77,0.83,16,7,18,16,2,2,0,11.29,3,6,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,573
cicatrice,scar,3.5,0.88,6.05,1.35,5.77,1.27,6.34,1.16,3,4,13,1,12,0,0,11.02,4,9,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,615
cielo,sky,1.91,0.74,6.91,0.47,6.32,1.16,5.91,1.64,539,316,530,256,274,15,2,11.15,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,528
ciliegia,cherry,2.3,0.76,6.61,0.69,6.43,0.95,4.48,2.67,1,2,42,31,12,0,1,10.92,3,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,585
cimitero,cemetery,3.48,1.02,6.68,0.96,6.2,1.34,4.25,2.54,71,54,23,4,19,7,0,11.11,4,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,576
cinema,cinema,3,0.81,6.89,0.39,6.23,1.01,4.39,2.46,169,625,43,22,21,34,0,11.14,3,6,ap,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,527
