word_galician,translate_word_english,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,aoa_mean,aoa_sd,aoa_n
aventura,adventure,7.166666666666667,1.8504708655481232,12,7.615384615384615,1.7577666482623884,13,3.9565217391304346,2.285890732884612,23,7.214285714285714,2.044827298653528,14,5.214285714285714,1.1217137594956017,14
avión,airplane,5.6923076923076925,3.038218101251,13,6.714285714285714,2.43147854444326,14,7.666666666666667,2.4246211825330315,12,8.142857142857142,1.6574838603294886,14,4.285714285714286,2.016416144037253,14
aviso,notice,4.909090909090909,1.4459976109624433,11,6.666666666666667,2.22928171609085,12,5.428571428571429,2.563479777846623,14,4.769230769230769,2.166173513896727,13,5.052631578947368,2.697193689961771,19
avó,grandfather,8.857142857142858,0.36313651960128834,14,5.230769230769231,3.1132471299766253,13,8.833333333333334,0.38924947208075705,12,8.235294117647058,1.2514697241996036,17,2.6666666666666665,1.3540064007726598,21
axencia,agency,5.357142857142857,1.945691210268034,14,4.846153846153846,1.625123269486238,13,6.3076923076923075,2.250356097177191,13,5.333333333333333,1.951800145897066,15,8.75,3.0488447886789096,12
azucre,sugar,5.846153846153846,2.1543039806456377,13,5.076923076923077,2.2898885875932353,13,7.333333333333333,2.768874620972692,15,7.416666666666667,2.314316444667972,12,5.428571428571429,2.533294775106604,14
azul,blue,6.523809523809524,1.6315344807587608,21,3.9166666666666665,2.429303429280737,12,6.071428571428571,2.64471274328716,14,7.714285714285714,1.6837947722821915,14,4.071428571428571,4.084949594158193,14
bágoa,tear,3.7142857142857144,2.0913216810491813,14,4.5,2.5761140573281374,12,7.571428571428571,2.0648816585306444,14,7.071428571428571,2.7305757554120262,14,6.461538461538462,3.642695536169716,13
baile,dance,7.769230769230769,1.964427234329222,13,5.846153846153846,3.210559500724493,13,5.466666666666667,3.0205644379502194,15,8.083333333333334,1.2401124093721443,12,4.357142857142857,1.21573927222163,14
baixa,leave,5.214285714285714,2.2930856412794,14,4,1.8708286933869707,13,3.888888888888889,2.8037673068767868,9,4.214285714285714,2.6363894724697734,14,5.214285714285714,3.846648319862799,14
baixo,low,5.076923076923077,1.8009968749527974,13,4.75,2.0056737702645644,12,5.764705882352941,2.4374528653059593,17,6.0476190476190474,2.673503141501623,21,5.214285714285714,3.2858337293148745,14
balance,balance,5.857142857142857,1.561909228976012,14,3.1818181818181817,1.537412229571615,11,2.9285714285714284,1.542439911024374,14,3.9285714285714284,2.585887311313698,14,10.692307692307692,2.750291359856726,13
baleiro,empty,4,2.4083189157584592,11,3.6,2.3708759207472134,20,4.266666666666667,2.9872745979922106,15,5.214285714285714,2.833279465120327,14,6.043478260869565,2.305689817299117,23
bancario,banking,4.357142857142857,1.3926810257774176,14,5.545454545454546,2.0670576365276503,11,6.357142857142857,1.864945569720997,14,5.928571428571429,1.9792883614022538,14,10.307692307692308,1.9741924671712971,13
