word_chinese_simplified,word_pinyin,age_of_learning,aoa_mean,concrete_mean,familiar_mean,imagine_mean
幡,fan1,22,6,5.38,4.5,3.68
翻,fan1,2,4.06,5.64,6.4,6.3
藩,fan1,15,6.3,4.03,4.16,2.47
烦,fan2,3,4.36,3.81,6.53,5.89
繁,fan2,6,4.83,3.76,6.26,5.21
反,fan3,3,3.55,3.9,5.56,4.65
返,fan3,3,4.19,4.78,6.23,5.43
犯,fan4,5,4.67,3.9,5.94,4.94
泛,fan4,5,4.64,4,5.13,4
饭,fan4,2,2.6,6.69,6.84,6.89
贩,fan4,15,5.74,5.11,5.87,4.96
方,fang1,2,3.08,4.68,5.84,5.32
芳,fang1,12,3.94,3.73,5.52,3.96
防,fang2,5,4.08,4.6,6.66,5.38
妨,fang2,13,5.13,3.38,5.84,3.19
房,fang2,1,3.03,6.71,6.84,6
仿,fang3,5,4.54,4.3,6.39,4.53
访,fang3,5,4.23,4.41,6.27,5.43
纺,fang3,9,4.46,5.43,5.78,4.91
放,fang4,1,3.25,4.68,6.33,5.75
飞,fei1,1,2.6,5.95,6.84,6.35
妃,fei1,15,5.45,5.74,6.16,5.26
菲,fei1,11,5.56,2.23,3.5,3
肥,fei2,2,3.75,5.08,6.53,6.29
匪,fei3,11,4.44,5.68,5.94,6.69
吠,fei4,15,5.5,5.43,4.77,5.61
废,fei4,7,4.41,4.13,5.75,5.09
沸,fei4,7,4.72,4.65,5.38,5.71
肺,fei4,9,4.38,6.72,6.77,6.39
分,fen1,3,2.85,4.87,6.45,4.68
坟,fen2,13,4.08,6.69,6.73,6.55
焚,fen2,14,5.51,5.69,5.61,6.11
粉,fen3,2,3.75,6.06,6.41,6.37
愤,fen4,3,4.65,4.21,5.34,5.39
粪,fen4,5,4.14,6.27,6.13,6.86
丰,feng1,4,3.45,3.18,6.26,4.68
风,feng1,1,2.73,6.43,6.84,6.62
枫,feng1,1,4.81,6.03,6.03,6
疯,feng1,9,4.4,4.46,5.16,5.9
峰,feng1,4,3.86,6.22,5.94,6.71
蜂,feng1,2,3.82,6.62,6.77,6.76
逢,feng2,4,4.77,4.32,5.48,4.82
缝,feng2,5,4.38,6.03,5.63,5.35
凤,feng4,4,3.97,5.2,5.88,6.33
奉,feng4,8,4.74,3.73,5.29,4.43
俸,feng4,15,6.1,4.67,4.91,4.13
佛,fo2,5,4.4,5.56,6.47,5.71
夫,fu1,2,3.69,5,6.8,5.03
肤,fu1,12,3.92,6.33,6.47,6.11
敷,fu1,9,5.64,5.19,5.48,5.68
伏,fu2,2,4.54,4.6,5.66,5.24
扶,fu2,4,3.68,5.68,6.72,6.03
拂,fu2,5,5.33,5.03,6,5.16
服,fu2,2,4.28,4.59,5.38,4.81
浮,fu2,1,4.48,5.21,5.94,5.7
福,fu2,2,4.2,3.62,6.32,4.65
抚,fu3,2,4.53,5.33,6.19,5.74
府,fu3,7,4.88,5.71,6.28,5.35
俯,fu3,5,4.85,5.43,5.75,5.56
辅,fu3,7,5,4.31,6,4.13
腐,fu3,6,4.82,4.3,5.94,5.35
