cues,con,type,n_previous,needs_norming
buttercup,4.71,Old,28,Yes
buttermilk,4.68,Old,36,No
butterscotch,4.58,Old,27,Yes
buttocks,4.83,Old,55,No
button,4.96,Old,28,Yes
buttonhole,4.7,Old,27,Yes
buttonhook,4.04,Old,27,Yes
bystander,4.17,Old,31,No
cab,4.88,Old,31,No
cabbage,4.75,Old,31,No
cabdriver,4.79,Old,29,Yes
cabin,4.92,Old,36,No
cabinet,4.89,Old,35,No
cable,4.74,Old,32,No
cactus,5,Old,53,No
caddy,4.32,Old,25,Yes
cadet,4.21,Old,30,No
cadillac,4.93,Old,30,No
cafe,4.96,Old,26,Yes
cafeteria,4.71,Old,28,Yes
cage,5,Old,30,No
cake,4.81,Old,29,Yes
calculator,4.86,Old,32,No
calender,4.82,Old,29,Yes
calf,4.48,Old,55,No
calipers,4.78,Old,26,Yes
camel,4.93,Old,28,Yes
camera,5,Old,29,Yes
camisole,4.81,Old,27,Yes
can,4.55,Old,27,Yes
candidate,3.81,Old,28,Yes
candle,4.86,Old,32,No
candlestick,4.93,Old,26,Yes
candy,4.83,Old,27,Yes
cane,4.87,Old,32,No
canine,4.71,Old,30,No
cannabis,4.69,Old,26,Yes
cannonball,4.8,Old,27,Yes
canoe,4.86,Old,27,Yes
cantaloupe,4.76,Old,26,Yes
canteen,4.88,Old,37,No
canvas,4.78,Old,65,No
cap,4.59,Old,27,Yes
cape,4.77,Old,54,No
capsule,4.52,Old,28,Yes
captain,4.19,Old,31,No
car,4.89,Old,25,Yes
caramel,4.73,Old,26,Yes
card,4.9,Old,24,Yes
cardboard,4.9,Old,27,Yes
cardigan,4.96,Old,30,No
caretaker,4.24,Old,33,No
carnival,4.68,Old,39,No
carp,4.62,Old,26,Yes
carpenter,4.41,Old,29,Yes
carpet,4.96,Old,63,No
carport,4.79,Old,26,Yes
carriage,4.86,Old,33,No
carrot,5,Old,25,Yes
cart,4.89,Old,35,No
carton,5,Old,25,Yes
cartridge,4.78,Old,29,Yes
case,3.93,Old,33,No
caseworker,4.37,Old,33,No
cash,4.48,Old,25,Yes
cashier,4.89,Old,29,Yes
cashmere,4.72,Old,33,No
casket,4.86,Old,30,No
casserole,4.87,Old,35,No
cassette,4.6,Old,30,No
castle,4.96,Old,29,Yes
cat,4.86,Old,29,Yes
catalogue,4.36,Old,27,Yes
catapult,4.43,Old,29,Yes
caterpillar,4.87,Old,30,No
catfish,4.85,Old,37,No
cathedral,4.86,Old,33,No
catnip,4.68,Old,26,Yes
cattle,4.64,Old,34,No
catwalk,4.15,Old,29,Yes
cauldron,4.61,Old,28,Yes
cauliflower,5,Old,29,Yes
caviar,4.7,Old,35,No
cayenne,4.22,Old,28,Yes
cedar,4.83,Old,32,No
celery,4.8,Old,33,No
cellar,4.68,Old,36,No
cello,4.96,Old,25,Yes
cellophane,4.54,Old,33,No
cement,4.97,Old,27,Yes
cent,4.19,Old,31,No
centipede,4.79,Old,26,Yes
ceramic,4.04,Old,34,No
ceramics,4.62,Old,27,Yes
cereal,4.83,Old,26,Yes
certificate,4.59,Old,35,No
chain,4.55,Old,27,Yes
chair,4.58,Old,39,No
chairman,4.31,Old,32,No
chairperson,4.58,Old,25,Yes
chairwoman,4.41,Old,33,No
chalet,4.36,Old,25,Yes
chalice,4.83,Old,29,Yes
chalk,4.9,Old,27,Yes
chambermaid,4.4,Old,30,No
champagne,4.82,Old,36,No
chapel,4.6,Old,31,No
chaplain,4.33,Old,32,No
charcoal,4.85,Old,28,Yes
chart,4.48,Old,36,No
chauffeur,4.43,Old,25,Yes
checkbook,4.97,Old,35,No
checkerboard,4.96,Old,28,Yes
checklist,4.61,Old,32,No
cheddar,4.46,Old,25,Yes
cheek,4.83,Old,26,Yes
cheekbone,4.71,Old,25,Yes
cheerleader,4.9,Old,28,Yes
cheese,4.7,Old,33,No
cheeseburger,4.93,Old,30,No
cheesecake,4.97,Old,32,No
cheesecloth,4.8,Old,27,Yes
chef,4.3,Old,27,Yes
chemicals,4.14,Old,32,No
cherry,4.62,Old,35,No
chessboard,4.68,Old,32,No
chest,4.93,Old,38,No
chestnut,4.7,Old,27,Yes
chevy,4.48,Old,28,Yes
chick,4.93,Old,34,No
chicken,4.8,Old,26,Yes
chickenfeed,4.78,Old,33,No
chihuahua,4.38,Old,28,Yes
child,4.78,Old,31,No
childbirth,4.04,Old,35,No
children,4.89,Old,29,Yes
chili,4.79,Old,33,No
chimney,5,Old,27,Yes
chimpanzee,4.96,Old,29,Yes
chin,4.89,Old,29,Yes
chinaware,4.82,Old,35,No
chinchilla,4.72,Old,33,No
chip,4.71,Old,26,Yes
chiropractor,4.86,Old,24,Yes
chisel,4.63,Old,25,Yes
chocolate,4.72,Old,26,Yes
chopsticks,5,Old,56,No
choreographer,4.23,Old,28,Yes
chow,4.47,Old,28,Yes
chowder,4.7,Old,26,Yes
chronograph,4.19,Old,24,Yes
chronometer,4.11,Old,29,Yes
chrysanthemum,4.57,Old,29,Yes
cider,4.97,Old,31,No
cigar,4.93,Old,27,Yes
cigarette,4.88,Old,26,Yes
citrus,4.21,Old,33,No
clam,4.89,Old,25,Yes
clamp,4.53,Old,26,Yes
clamshell,4.82,Old,27,Yes
clarinet,4.92,Old,34,No
classmate,4.32,Old,26,Yes
claw,4.83,Old,29,Yes
clay,4.93,Old,30,No
cleat,4.5,Old,30,No
cleavage,4.64,Old,27,Yes
cleavers,4.56,Old,28,Yes
clergy,4.03,Old,25,Yes
clerk,4.28,Old,30,No
client,3.9,Old,31,No
cliff,4.71,Old,32,No
clip,4.37,Old,54,No
clipboard,4.93,Old,26,Yes
clipper,4.3,Old,28,Yes
clitoris,4.93,Old,33,No
cloak,4.71,Old,25,Yes
clock,5,Old,28,Yes
closet,4.83,Old,39,No
cloth,4.9,Old,26,Yes
clothes,4.76,Old,49,No
clothesline,4.86,Old,28,Yes
clothespin,4.41,Old,31,No
clove,4.42,Old,28,Yes
clover,4.69,Old,39,No
cloverleaf,4.86,Old,35,No
club,3.78,Old,36,No
clubhouse,4.61,Old,34,No
coachman,4.12,Old,28,Yes
coal,4.66,Old,33,No
coaster,4.68,Old,29,Yes
coat,4.97,Old,27,Yes
cobblestone,4.79,Old,26,Yes
cobweb,4.92,Old,35,No
cocaine,4.52,Old,32,No
cock,4.79,Old,30,No
cockatoo,4.73,Old,36,No
cocktail,4.4,Old,30,No
cocoa,4.89,Old,33,No
coconut,4.79,Old,28,Yes
cod,4.61,Old,26,Yes
coffee,4.81,Old,28,Yes
